accession	organism	strain	assembly_level	assembly_name	release_date	biosample	bioproject	checkm_completeness	checkm_contamination	num_contigs	total_length	tier	covered_bp	n_snps
GCF_028199455.1	Phocaeicola vulgatus	RTP21484st1_G7_RTP21484_190118	Scaffold	ASM2819945v1	2023-01-28	SAMN31321046	PRJNA880610	97.57	1.52	124	4851643	hq	3922025	25007
GCF_028199465.1	Phocaeicola vulgatus	RTP21106st1_G3_RTP21106_201023	Scaffold	ASM2819946v1	2023-01-28	SAMN31321028	PRJNA880610	98.23	2.71	229	4841756	hq	3970038	18148
GCF_028199485.1	Phocaeicola vulgatus	A4_m1001271B151109d1_201121	Scaffold	ASM2819948v1	2023-01-28	SAMN31321017	PRJNA880610	97.9	1.11	83	5245686	hq	3973716	23356
GCF_028199505.1	Phocaeicola vulgatus	RTP21311st3_H4_RTP21311_201001	Scaffold	ASM2819950v1	2023-01-28	SAMN31321043	PRJNA880610	97.21	4.14	124	4949123	hq	3687529	24116
GCF_028199515.1	Phocaeicola vulgatus	RTP21311st2_D4_RTP21311_201001	Scaffold	ASM2819951v1	2023-01-28	SAMN31321042	PRJNA880610	98.45	2.23	91	4969390	hq	3975916	18763
GCF_028199555.1	Phocaeicola vulgatus	RTP21311st1_C9_RTP21311_201001	Scaffold	ASM2819955v1	2023-01-28	SAMN31321041	PRJNA880610	96.81	3.31	74	5370848	hq	3822271	28975
GCF_028199575.1	Phocaeicola vulgatus	G4_m1001713B170214d0_201011	Scaffold	ASM2819957v1	2023-01-28	SAMN31321023	PRJNA880610	98.23	3.04	126	5297085	hq	3880923	29564
GCF_028199595.1	Phocaeicola vulgatus	G12_m1001271B151109d0_201107	Scaffold	ASM2819959v1	2023-01-28	SAMN31321010	PRJNA880610	97.9	1.11	71	5163550	hq	3969439	23198
GCF_028199605.1	Phocaeicola vulgatus	H11_m1001713B170214d0_201011	Scaffold	ASM2819960v1	2023-01-28	SAMN31321024	PRJNA880610	98.4	2.6	136	5161737	hq	3853341	27579
GCF_028199635.1	Phocaeicola vulgatus	A9_hRTP31088sv1_210526	Scaffold	ASM2819963v1	2023-01-28	SAMN31320995	PRJNA880610	97.61	1.53	88	5460413	hq	4061171	23053
GCF_028199655.1	Phocaeicola vulgatus	B3_m1001271B151109d1_201121	Scaffold	ASM2819965v1	2023-01-28	SAMN31321018	PRJNA880610	97.9	1.22	80	5205556	hq	3968421	23201
GCF_028199675.1	Phocaeicola vulgatus	RTP21106st1_F12_RTP21106_201023	Scaffold	ASM2819967v1	2023-01-28	SAMN31321027	PRJNA880610	98.26	2.71	220	4853311	hq	3974662	18372
GCF_028199695.1	Phocaeicola vulgatus	F6_m1001713B170214d0_201011	Scaffold	ASM2819969v1	2023-01-28	SAMN31321022	PRJNA880610	97.85	1.76	121	4996157	hq	3883177	21064
GCF_028199715.1	Phocaeicola vulgatus	A5_m1001271B151109d0_201107	Scaffold	ASM2819971v1	2023-01-28	SAMN31321000	PRJNA880610	97.9	1.22	82	5208874	hq	3970567	23327
GCF_028199725.1	Phocaeicola vulgatus	G10_m1001271B151109d0_201107	Contig	ASM2819972v1	2023-01-28	SAMN31321009	PRJNA880610	97.41	2.4	128	5337595	hq	3975999	26105
GCF_028199755.1	Phocaeicola vulgatus	B11_m1001713B170214d0_201011	Scaffold	ASM2819975v1	2023-01-28	SAMN31321021	PRJNA880610	98.37	2.73	126	5334436	hq	3900124	29865
GCF_028199775.1	Phocaeicola vulgatus	H9_m1001271B151109d0_201107	Scaffold	ASM2819977v1	2023-01-28	SAMN31321016	PRJNA880610	97.9	1.11	82	5288323	hq	3978098	23632
GCF_028199785.1	Phocaeicola vulgatus	H7_m1001271B151109d0_201107	Scaffold	ASM2819978v1	2023-01-28	SAMN31321015	PRJNA880610	97.08	2.4	131	5340224	hq	3978381	26070
GCF_028199815.1	Phocaeicola vulgatus	F3_m1001271B151109d1_201121	Scaffold	ASM2819981v1	2023-01-28	SAMN31321020	PRJNA880610	97.9	1.11	78	5197209	hq	3978240	23658
GCF_028199835.1	Phocaeicola vulgatus	D1_m1001271B151109d1_201121	Scaffold	ASM2819983v1	2023-01-28	SAMN31321019	PRJNA880610	97.41	2.39	139	5098997	hq	3879647	26162
GCF_028199855.1	Phocaeicola vulgatus	H5_m1001271B151109d0_201107	Scaffold	ASM2819985v1	2023-01-28	SAMN31321014	PRJNA880610	97.41	2.39	145	5099393	hq	3877491	26103
GCF_028199875.1	Phocaeicola vulgatus	A1_m1001271B151109d0_201107	Contig	ASM2819987v1	2023-01-28	SAMN31320999	PRJNA880610	97.41	2.4	148	5374057	hq	3969061	26135
GCF_028199885.1	Phocaeicola vulgatus	H2_m1001271B151109d0_201107	Scaffold	ASM2819988v1	2023-01-28	SAMN31321012	PRJNA880610	97.9	1.11	81	5284796	hq	3976342	23662
GCF_028199915.1	Phocaeicola vulgatus	H3_m1001271B151109d0_201107	Scaffold	ASM2819991v1	2023-01-28	SAMN31321013	PRJNA880610	97.41	2.39	140	5098848	hq	3881036	26102
GCF_028199925.1	Phocaeicola vulgatus	G8_m1001271B151109d0_201107	Scaffold	ASM2819992v1	2023-01-28	SAMN31321011	PRJNA880610	97.08	2.39	140	5097904	hq	3876639	26117
GCF_028199955.1	Phocaeicola vulgatus	E2_m1001271B151109d0_201107	Scaffold	ASM2819995v1	2023-01-28	SAMN31321007	PRJNA880610	97.08	2.4	139	5371476	hq	3969172	26239
GCF_028199975.1	Phocaeicola vulgatus	E11_m1001271B151109d0_201107	Contig	ASM2819997v1	2023-01-28	SAMN31321006	PRJNA880610	97.41	2.39	141	5098293	hq	3875997	26157
GCF_028199985.1	Phocaeicola vulgatus	E9_hJ1101004_210123	Scaffold	ASM2819998v1	2023-01-28	SAMN31320986	PRJNA880610	97.77	2.99	104	5078826	hq	3768662	21281
GCF_028199995.1	Phocaeicola vulgatus	C4_m1001271B151109d0_201107	Scaffold	ASM2819999v1	2023-01-28	SAMN31321002	PRJNA880610	97.41	2.39	152	5118799	hq	3878973	26069
GCF_028200035.1	Phocaeicola vulgatus	C2_m1001271B151109d0_201107	Scaffold	ASM2820003v1	2023-01-28	SAMN31321001	PRJNA880610	97.41	2.39	149	5101338	hq	3878435	26010
GCF_028200075.1	Phocaeicola vulgatus	F10_m1001271B151109d0_201107	Scaffold	ASM2820007v1	2023-01-28	SAMN31321008	PRJNA880610	97.41	2.4	137	5374297	hq	3969980	26166
GCF_028200095.1	Phocaeicola vulgatus	C7_m1001271B151109d0_201107	Scaffold	ASM2820009v1	2023-01-28	SAMN31321003	PRJNA880610	97.9	1.11	83	5288218	hq	3978503	23696
GCF_028200115.1	Phocaeicola vulgatus	D1_m1001271B151109d0_201107	Scaffold	ASM2820011v1	2023-01-28	SAMN31321004	PRJNA880610	97.41	2.4	140	5373588	hq	3965864	26199
GCF_028200155.1	Phocaeicola vulgatus	B6_m1001262Bd1_191214	Scaffold	ASM2820015v1	2023-01-28	SAMN31321067	PRJNA880610	98.55	2.4	87	4722038	hq	4006337	18789
GCF_028200165.1	Phocaeicola vulgatus	H7_m1001262Bd2_200113	Scaffold	ASM2820016v1	2023-01-28	SAMN31321074	PRJNA880610	98.55	2.08	74	4725747	hq	4006453	18764
GCF_028200195.1	Phocaeicola vulgatus	A7_m1001262Bd2_200113	Scaffold	ASM2820019v1	2023-01-28	SAMN31321068	PRJNA880610	97.89	1.52	93	4650481	hq	3923399	22835
GCF_028200215.1	Phocaeicola vulgatus	A1_m1001262Bd1_191214	Scaffold	ASM2820021v1	2023-01-28	SAMN31321066	PRJNA880610	97.78	1.52	111	4697707	hq	3925677	22855
GCF_028200225.1	Phocaeicola vulgatus	H6_h1001262B_191106	Scaffold	ASM2820022v1	2023-01-28	SAMN31321064	PRJNA880610	97.89	1.52	88	4643948	hq	3926946	22844
GCF_028200255.1	Phocaeicola vulgatus	A7_h1001262B_191106	Scaffold	ASM2820025v1	2023-01-28	SAMN31321052	PRJNA880610	97.89	1.52	87	4703159	hq	3926095	22805
GCF_028200275.1	Phocaeicola vulgatus	F10_m1001713B170214d1_201031	Scaffold	ASM2820027v1	2023-01-28	SAMN31321050	PRJNA880610	98.23	3.04	128	5302042	hq	3889914	29531
GCF_028200295.1	Phocaeicola vulgatus	G10_h1001262B_191106	Scaffold	ASM2820029v1	2023-01-28	SAMN31321062	PRJNA880610	97.03	2.86	131	5177280	hq	3751571	23820
GCF_028200305.1	Phocaeicola vulgatus	RTP21484st1_E2_RTP21484_190118	Scaffold	ASM2820030v1	2023-01-28	SAMN31321045	PRJNA880610	97.57	1.52	127	4854291	hq	3922691	24895
GCF_028200325.1	Phocaeicola vulgatus	F11_h1001262B_191106	Scaffold	ASM2820032v1	2023-01-28	SAMN31321060	PRJNA880610	97.05	2.86	139	5169975	hq	3744699	23610
GCF_028200355.1	Phocaeicola vulgatus	B10_m1001713B170214d1_201031	Scaffold	ASM2820035v1	2023-01-28	SAMN31321051	PRJNA880610	98.23	3.04	133	5304177	hq	3891431	29538
GCF_028200395.1	Phocaeicola vulgatus	A6_hRTP31088sv1_210526	Scaffold	ASM2820039v1	2023-01-28	SAMN31320994	PRJNA880610	97.61	1.53	103	5458389	hq	4061997	22947
GCF_028200405.1	Phocaeicola vulgatus	RTP21484st1_A3_RTP21484_190118	Scaffold	ASM2820040v1	2023-01-28	SAMN31321044	PRJNA880610	97.57	1.53	117	4855657	hq	3911167	25896
GCF_028200455.1	Phocaeicola vulgatus	E6_hJ1101004_210123	Scaffold	ASM2820045v1	2023-01-28	SAMN31320985	PRJNA880610	97.77	3.32	103	5083897	hq	3769215	21116
GCF_028200475.1	Phocaeicola vulgatus	C9_hJ1101004_210123	Scaffold	ASM2820047v1	2023-01-28	SAMN31320980	PRJNA880610	97.77	2.99	94	5072593	hq	3764594	21187
GCF_028200495.1	Phocaeicola vulgatus	E2_hJ1101004_210123	Scaffold	ASM2820049v1	2023-01-28	SAMN31320984	PRJNA880610	97.81	3.07	104	5074651	hq	3766668	21236
GCF_028200515.1	Phocaeicola vulgatus	D7_hJ1101004_210123	Scaffold	ASM2820051v1	2023-01-28	SAMN31320983	PRJNA880610	97.74	2.99	101	5076166	hq	3766321	21120
GCF_028200525.1	Phocaeicola vulgatus	D6_hJ1101004_210123	Scaffold	ASM2820052v1	2023-01-28	SAMN31320982	PRJNA880610	97.77	2.99	101	5074826	hq	3766875	21165
GCF_028200555.1	Phocaeicola vulgatus	C4_hJ1101004_210123	Scaffold	ASM2820055v1	2023-01-28	SAMN31320978	PRJNA880610	97.77	2.99	96	5074787	hq	3767931	21113
GCF_028200575.1	Phocaeicola vulgatus	C3_hJ1101004_210123	Scaffold	ASM2820057v1	2023-01-28	SAMN31320977	PRJNA880610	97.77	2.99	106	5118592	hq	3777101	21754
GCF_028200745.1	Phocaeicola vulgatus	A12_hJ1101004_210123	Scaffold	ASM2820074v1	2023-01-28	SAMN31320972	PRJNA880610	97.77	2.99	94	5074616	hq	3762907	21094
GCF_028200765.1	Phocaeicola vulgatus	H4_h1001713B170204_200309	Scaffold	ASM2820076v1	2023-01-28	SAMN31320963	PRJNA880610	98.4	3.04	126	5212709	hq	3882993	29376
GCF_028200835.1	Phocaeicola vulgatus	A7_hJ1101004_210123	Scaffold	ASM2820083v1	2023-01-28	SAMN31320975	PRJNA880610	97.77	2.99	95	5079604	hq	3765685	21161
GCF_028200845.1	Phocaeicola vulgatus	C1_hJ1101004_210123	Scaffold	ASM2820084v1	2023-01-28	SAMN31320976	PRJNA880610	97.57	2.99	101	5002593	hq	3765996	21151
GCF_028200875.1	Phocaeicola vulgatus	G5_h1001283B150217_200217	Scaffold	ASM2820087v1	2023-01-28	SAMN31320970	PRJNA880610	98.07	3.29	114	5347210	hq	4009887	32138
GCF_028200895.1	Phocaeicola vulgatus	J1101004st1_G1_J1101004_170508	Scaffold	ASM2820089v1	2023-01-28	SAMN31320971	PRJNA880610	97.77	3.32	121	5081498	hq	3761640	21157
GCF_028200905.1	Phocaeicola vulgatus	D6st1_B5_D6t1_180914	Scaffold	ASM2820090v1	2023-01-28	SAMN31320958	PRJNA880610	97.29	2.09	251	4941063	hq	3918175	18787
GCF_028200935.1	Phocaeicola vulgatus	E10_h1001283B150217_200217	Scaffold	ASM2820093v1	2023-01-28	SAMN31320968	PRJNA880610	98.27	2.5	136	5490304	hq	4109691	33517
GCF_028200955.1	Phocaeicola vulgatus	C11_h1001283B150217_200217	Scaffold	ASM2820095v1	2023-01-28	SAMN31320967	PRJNA880610	97.9	3.48	118	5322588	hq	4008300	31765
GCF_028200965.1	Phocaeicola vulgatus	D59st2_H2_D59t2_181005	Scaffold	ASM2820096v1	2023-01-28	SAMN31320957	PRJNA880610	97.97	1.67	144	5276615	hq	4040340	19965
GCF_028200975.1	Phocaeicola vulgatus	F2_h1001713B170204_200309	Scaffold	ASM2820097v1	2023-01-28	SAMN31320962	PRJNA880610	98.4	3.04	150	5204812	hq	3878969	29246
GCF_028201015.1	Phocaeicola vulgatus	E2_h1001283B150217_200217	Scaffold	ASM2820101v1	2023-01-28	SAMN31320960	PRJNA880610	98.07	3.29	111	5385841	hq	4007345	32081
GCF_028201035.1	Phocaeicola vulgatus	D53st1_F11_D53t1_180928	Scaffold	ASM2820103v1	2023-01-28	SAMN31320949	PRJNA880610	98.18	2.08	95	5201238	hq	3866821	29150
GCF_028201045.1	Phocaeicola vulgatus	B11_h1001283B150217_200217	Scaffold	ASM2820104v1	2023-01-28	SAMN31320964	PRJNA880610	98.27	2.5	137	5495422	hq	4099451	33786
GCF_028201095.1	Phocaeicola vulgatus	D54st2_H11_D54t1_190329	Scaffold	ASM2820109v1	2023-01-28	SAMN31320955	PRJNA880610	98.48	0.99	69	4767683	vhq	3906735	19874
GCF_028201115.1	Phocaeicola vulgatus	D54st2_E11_D54t1_190329	Scaffold	ASM2820111v1	2023-01-28	SAMN31320954	PRJNA880610	98.45	0.99	77	4760042	vhq	3904455	19929
GCF_028201135.1	Phocaeicola vulgatus	D54st1_B5_D54t1_190329	Scaffold	ASM2820113v1	2023-01-28	SAMN31320953	PRJNA880610	97.91	1.66	205	4637278	hq	4016192	20216
GCF_028201145.1	Phocaeicola vulgatus	D53st2_A4_D53t1_180928	Scaffold	ASM2820114v1	2023-01-28	SAMN31320950	PRJNA880610	96.41	2.21	462	4619110	hq	3803095	24319
GCF_028201155.1	Phocaeicola vulgatus	D54st1_B11_D54t1_190329	Scaffold	ASM2820115v1	2023-01-28	SAMN31320952	PRJNA880610	98.07	1.66	112	4642096	hq	4026513	20381
GCF_028201165.1	Phocaeicola vulgatus	D59st1_D1_D59t2_181005	Scaffold	ASM2820116v1	2023-01-28	SAMN31320956	PRJNA880610	98.58	1.93	107	4805327	vhq	3971499	23142
GCF_028201215.1	Phocaeicola vulgatus	D54st1_B10_D54t1_190329	Scaffold	ASM2820121v1	2023-01-28	SAMN31320951	PRJNA880610	98.07	1.66	103	4641573	hq	4027192	20278
GCF_028201235.1	Phocaeicola vulgatus	D52st1_C2_D52t1_170925	Scaffold	ASM2820123v1	2023-01-28	SAMN31320948	PRJNA880610	97.74	1.91	101	4840133	hq	3963988	17937
GCF_028201255.1	Phocaeicola vulgatus	BSD2780120875st2_F6_BSD2780120875b_170604	Scaffold	ASM2820125v1	2023-01-28	SAMN31320943	PRJNA880610	96.36	2.51	121	4978588	hq	3772260	21874
GCF_028201265.1	Phocaeicola vulgatus	BSD2780120875st1_E11_BSD2780120875_150330	Scaffold	ASM2820126v1	2023-01-28	SAMN31320942	PRJNA880610	98.42	1.45	107	5002499	hq	4005188	18830
GCF_028201295.1	Phocaeicola vulgatus	BSD3448080949st1_E11_BSD3448080949_160606	Scaffold	ASM2820129v1	2023-01-28	SAMN31320946	PRJNA880610	98.44	2.21	105	4969790	hq	3976853	19991
GCF_028201315.1	Phocaeicola vulgatus	BSD2780120874st1_B4_BSD2780120874_150323	Scaffold	ASM2820131v1	2023-01-28	SAMN31320941	PRJNA880610	98.49	2.31	140	5105669	hq	3983117	28304
GCF_028201355.1	Phocaeicola vulgatus	BSD2780061689st1_E5_BSD2780061689_150309	Scaffold	ASM2820135v1	2023-01-28	SAMN31320939	PRJNA880610	98.51	2.16	134	5253037	hq	3895890	29367
GCF_028201375.1	Phocaeicola vulgatus	BSD2780061689st1_G7_BSD2780061689_150309	Scaffold	ASM2820137v1	2023-01-28	SAMN31320940	PRJNA880610	98.51	2.14	118	5062007	hq	3899393	29252
GCF_028394625.1	Phocaeicola vulgatus	2225st1_A5_2225SCRN_200828	Scaffold	ASM2839462v1	2023-02-01	SAMN31320934	PRJNA880610	98.2	4.02	147	5266207	hq	3926779	31648
GCF_028394645.1	Phocaeicola vulgatus	2225st1_G10_2225SCRN_200828	Scaffold	ASM2839464v1	2023-02-01	SAMN31320937	PRJNA880610	98.2	3.82	146	5237905	hq	3926606	31597
GCF_028394655.1	Phocaeicola vulgatus	2225st1_C5_2225SCRN_200828	Scaffold	ASM2839465v1	2023-02-01	SAMN31320935	PRJNA880610	98.2	3.82	144	5241614	hq	3927626	31603
GCF_028394725.1	Phocaeicola vulgatus	2225st1_H5_2225SCRN_200828	Scaffold	ASM2839472v1	2023-02-01	SAMN31320938	PRJNA880610	98.2	3.82	148	5242829	hq	3928111	31770
GCF_028394795.1	Phocaeicola vulgatus	1028st2_F9_1028SCRN_200821	Scaffold	ASM2839479v1	2023-02-01	SAMN31320933	PRJNA880610	96.86	2.49	108	5181210	hq	3850987	27456
GCF_028394825.1	Phocaeicola vulgatus	1028st1_A7_1028SCRN_200821	Scaffold	ASM2839482v1	2023-02-01	SAMN31320932	PRJNA880610	97.88	2.37	84	5018728	hq	3906210	28810
GCF_028394835.1	Phocaeicola vulgatus	1025st1_F11_1025SCRN_200924	Scaffold	ASM2839483v1	2023-02-01	SAMN31320931	PRJNA880610	97.23	2.09	99	5186074	hq	3764122	26144
GCF_028394965.1	Phocaeicola vulgatus	1001713st1_G5_1001713B170207_170306	Scaffold	ASM2839496v1	2023-02-01	SAMN31320928	PRJNA880610	98.23	3.04	141	5318855	hq	3901827	29604
GCF_028394975.1	Phocaeicola vulgatus	1001713st1_F5_1001713B170214_170313	Scaffold	ASM2839497v1	2023-02-01	SAMN31320926	PRJNA880610	98.4	3.04	152	5222531	hq	3894559	29243
GCF_028395025.1	Phocaeicola vulgatus	1001713st1_A7_1001713B170131_170501	Scaffold	ASM2839502v1	2023-02-01	SAMN31320923	PRJNA880610	98.4	3.04	146	5227231	hq	3872491	29651
GCF_028395045.1	Phocaeicola vulgatus	1001713st1_F12_1001713B170214_170313	Scaffold	ASM2839504v1	2023-02-01	SAMN31320924	PRJNA880610	98.23	3.04	154	5332364	hq	3899411	29434
GCF_028395165.1	Phocaeicola vulgatus	1001283st2_G3_1001287H_170206	Scaffold	ASM2839516v1	2023-02-01	SAMN31320922	PRJNA880610	98.37	2.64	376	5387293	hq	4061714	31522
GCF_028395175.1	Phocaeicola vulgatus	1001283st2_E9_1001283B150225_161107	Scaffold	ASM2839517v1	2023-02-01	SAMN31320921	PRJNA880610	98.44	2.45	136	5398426	hq	4086499	31536
GCF_028395205.1	Phocaeicola vulgatus	1001283st2_C2_1001283B150217_161031	Scaffold	ASM2839520v1	2023-02-01	SAMN31320918	PRJNA880610	98.31	2.51	209	5379165	hq	4079550	31344
GCF_028395215.1	Phocaeicola vulgatus	1001283st2_D3_1001285H_161024	Scaffold	ASM2839521v1	2023-02-01	SAMN31320919	PRJNA880610	98.44	2.66	163	5523404	hq	4108759	33509
GCF_028395235.1	Phocaeicola vulgatus	1001283st2_E1_1001285I_161205	Scaffold	ASM2839523v1	2023-02-01	SAMN31320920	PRJNA880610	97.87	2.68	241	5487146	hq	4094470	33836
GCF_028395285.1	Phocaeicola vulgatus	1001283st2_C11_1001283B150225_161107	Scaffold	ASM2839528v1	2023-02-01	SAMN31320917	PRJNA880610	98.27	2.5	144	5488102	hq	4108490	33356
GCF_028395295.1	Phocaeicola vulgatus	1001283st1_H2_1001283B150210_160208	Scaffold	ASM2839529v1	2023-02-01	SAMN31320916	PRJNA880610	97.9	3.39	124	5262370	hq	4014106	32390
GCF_028395405.1	Phocaeicola vulgatus	1001283st1_G7_1001285I_161205	Scaffold	ASM2839540v1	2023-02-01	SAMN31320915	PRJNA880610	97.9	3.39	134	5258203	hq	4011194	31970
GCF_028395425.1	Phocaeicola vulgatus	1001283st1_G4_1001283B150210_160208	Scaffold	ASM2839542v1	2023-02-01	SAMN31320914	PRJNA880610	98	3.29	128	5356824	hq	4015363	32232
GCF_028395455.1	Phocaeicola vulgatus	1001283st1_G3_1001283B150304_161114	Scaffold	ASM2839545v1	2023-02-01	SAMN31320913	PRJNA880610	97.9	3.48	126	5331893	hq	4011512	31871
GCF_028395505.1	Phocaeicola vulgatus	1001283st1_C2_1001283B150209_150212	Scaffold	ASM2839550v1	2023-02-01	SAMN31320911	PRJNA880610	98.07	3.29	129	5353893	hq	4015148	31936
GCF_028395525.1	Phocaeicola vulgatus	1001283st1_C3_1001283B150210_160208	Scaffold	ASM2839552v1	2023-02-01	SAMN31320912	PRJNA880610	98.07	3.29	122	5352765	hq	4013243	32367
GCF_028395605.1	Phocaeicola vulgatus	1001283st1_C12_1001283B150210_160208	Scaffold	ASM2839560v1	2023-02-01	SAMN31320910	PRJNA880610	97.95	3.29	149	5354884	hq	4013453	31966
GCF_028395635.1	Phocaeicola vulgatus	1001283st1_A3_1001285H_161024	Scaffold	ASM2839563v1	2023-02-01	SAMN31320908	PRJNA880610	97.9	3.48	126	5305653	hq	4012590	31855
GCF_028395655.1	Phocaeicola vulgatus	1001275st1_F10_1001275B_160808	Scaffold	ASM2839565v1	2023-02-01	SAMN31320907	PRJNA880610	98.23	3.05	86	4592878	hq	3910032	23751
GCF_028395705.1	Phocaeicola vulgatus	1001275st1_A10_1001275B_160808	Scaffold	ASM2839570v1	2023-02-01	SAMN31320906	PRJNA880610	98.23	3.05	100	4594484	hq	3909631	23850
GCF_028395745.1	Phocaeicola vulgatus	1001271st1_F6_1001271B_151109	Scaffold	ASM2839574v1	2023-02-01	SAMN31320903	PRJNA880610	97.9	1.22	100	5190750	hq	3971417	23106
GCF_028395765.1	Phocaeicola vulgatus	1001271st1_G7_1001271B_150615	Scaffold	ASM2839576v1	2023-02-01	SAMN31320904	PRJNA880610	97.9	1.22	99	5204063	hq	3972312	23089
GCF_028395805.1	Phocaeicola vulgatus	1001271st1_F6_1001270J_160509	Scaffold	ASM2839580v1	2023-02-01	SAMN31320902	PRJNA880610	97.76	0.86	317	5131531	hq	3936715	22777
GCF_028395835.1	Phocaeicola vulgatus	1001271st1_E2_1001271B_150615	Scaffold	ASM2839583v1	2023-02-01	SAMN31320901	PRJNA880610	97.9	1.22	100	5181641	hq	3981077	23485
GCF_028395935.1	Phocaeicola vulgatus	1001262st1_F10_1001262B_160229	Scaffold	ASM2839593v1	2023-02-01	SAMN31320899	PRJNA880610	97.07	2.86	148	5169109	hq	3747706	23800
GCF_028395955.1	Phocaeicola vulgatus	1001216st1_F12_1001216I_160404	Scaffold	ASM2839595v1	2023-02-01	SAMN31320898	PRJNA880610	98.58	1.95	109	5057616	hq	4050262	22916
GCF_028396005.1	Phocaeicola vulgatus	1001216st1_D4_1001216I_160404	Scaffold	ASM2839600v1	2023-02-01	SAMN31320897	PRJNA880610	98.58	1.95	114	5057919	hq	4052008	22949
GCF_028396015.1	Phocaeicola vulgatus	1001175st1_B8_1001175B_160314	Scaffold	ASM2839601v1	2023-02-01	SAMN31320896	PRJNA880610	98.04	1.62	111	5266262	hq	3879815	25881
GCF_028396085.1	Phocaeicola vulgatus	1001174st1_D2_1001174B_160307	Scaffold	ASM2839608v1	2023-02-01	SAMN31320894	PRJNA880610	97.85	2.72	177	5578028	hq	3881157	29410
GCF_028396095.1	Phocaeicola vulgatus	1001174st1_D6_1001174B_160307	Scaffold	ASM2839609v1	2023-02-01	SAMN31320895	PRJNA880610	98.01	2.97	251	5659576	hq	3878529	29267
GCF_028396185.1	Phocaeicola vulgatus	1001174st1_D12_1001174B_160307	Scaffold	ASM2839618v1	2023-02-01	SAMN31320893	PRJNA880610	97.95	2.88	301	5656207	hq	3873428	29155
GCF_028396205.1	Phocaeicola vulgatus	1001095st1_E11_1001095IJ_161003	Scaffold	ASM2839620v1	2023-02-01	SAMN31320891	PRJNA880610	97.76	1.52	177	5305792	hq	4112195	15011
GCF_028396215.1	Phocaeicola vulgatus	1001095st2_H7_1001095H_141210	Contig	ASM2839621v1	2023-02-01	SAMN31320892	PRJNA880610	96.29	3.2	534	5044012	hq	3802775	26155
GCF_028396285.1	Phocaeicola vulgatus	1001095st1_B11_1001095H_141210	Scaffold	ASM2839628v1	2023-02-01	SAMN31320890	PRJNA880610	97.76	1.41	151	5243663	hq	4112943	14950
GCF_028538915.1	Phocaeicola vulgatus ATCC 8482	ATCC 8482	Contig	ASM2853891v1	2023-02-07	SAMN30220829	PRJNA867738	99.53	0.35	133	5005209	vhq	4068898	19420
GCF_029076805.1	Phocaeicola vulgatus	DFI.4.83	Contig	ASM2907680v1	2023-03-09	SAMN33554263	PRJNA792599	99.29	1.81	937	5506578	vhq	3935815	31092
GCF_030541685.1	Phocaeicola vulgatus	GP0081	Contig	ASM3054168v1	2023-07-25	SAMN36496268	PRJNA833080	99.29	0.71	69	5033962	vhq	3762230	24489
GCF_030546205.1	Phocaeicola vulgatus	GP0068	Contig	ASM3054620v1	2023-07-26	SAMN36496266	PRJNA833080	99.29	0.71	69	4965451	vhq	3761612	24537
GCF_036419465.1	Phocaeicola vulgatus	DFI.4.81	Complete Genome	ASM3641946v1	2024-02-06	SAMN19731837	PRJNA1066865	99.29		2	5383987	complete	3985971	31410
GCF_039734225.1	Phocaeicola vulgatus	1001271st2_D7_1001271B_150615	Scaffold	ASM3973422v1	2024-05-22	SAMN41376056	PRJNA1093465	100	0.35	160	5328257	hq	3870769	26211
GCF_039760255.1	Phocaeicola vulgatus	D52st1_A2_D52t1_170925	Scaffold	ASM3976025v1	2024-05-22	SAMN41376065	PRJNA1093465	97.88	2.57	581	4803628	hq	3922054	18246
GCF_039760295.1	Phocaeicola vulgatus	BSD3178071176st1_G12_BSD3178071176_160815	Scaffold	ASM3976029v1	2024-05-22	SAMN41376063	PRJNA1093465	99.65	0.12	153	5507601	hq	4223039	20637
GCF_039760315.1	Phocaeicola vulgatus	BSD3178071176st1_D12_BSD3178071176_160815	Contig	ASM3976031v1	2024-05-22	SAMN41376062	PRJNA1093465	99.65	0.12	138	5372291	hq	4222870	20253
GCF_039760335.1	Phocaeicola vulgatus	BSD3178071176st1_A4_BSD3178071176_160815	Scaffold	ASM3976033v1	2024-05-22	SAMN41376061	PRJNA1093465	99.65	0.12	149	5461689	hq	4217598	20218
GCF_039760355.1	Phocaeicola vulgatus	1001271st2_H8_1001270H_150608	Scaffold	ASM3976035v1	2024-05-22	SAMN41376059	PRJNA1093465	100	0.35	157	5100164	hq	3874141	26243
GCF_039760375.1	Phocaeicola vulgatus	1001271st2_G4_1001271B_150615	Scaffold	ASM3976037v1	2024-05-22	SAMN41376058	PRJNA1093465	100	0.35	146	5296522	hq	3888068	26103
GCF_039760395.1	Phocaeicola vulgatus	1001271st2_C9_1001271B_150615	Scaffold	ASM3976039v1	2024-05-22	SAMN41376055	PRJNA1093465	100	0.35	142	5289146	hq	3887820	26153
GCF_039760415.1	Phocaeicola vulgatus	1001271st2_D7_1001271B_151109	Contig	ASM3976041v1	2024-05-22	SAMN41376057	PRJNA1093465	100	0.35	163	5281947	hq	3877345	26020
GCF_039760425.1	Phocaeicola vulgatus	2225st1_H6_2225SCRN_200828	Scaffold	ASM3976042v1	2024-05-22	SAMN41376060	PRJNA1093465	99.65	0.18	168	5263445	hq	3922258	31806
